first_seen,last_updated,paper_key,kind,paper_id,title,url,reach_score,trend_score,post_count,creator_count,creators,top_post_url,top_post_views,total_views,total_likes,total_reposts,newest_post_iso,in_main_ledger,reported_on,last_reported_reach,picked,my_notes
2026-07-20,2026-07-20,arxiv:2607.12227,arxiv,2607.12227,Rethinking the Evaluation of Harness Evolution for Agents,https://arxiv.org/abs/2607.12227,40000,29650,1,1,dair_ai,https://x.com/dair_ai/status/2077427982390759803,12100,12100,165,28,2026-07-15T16:20:02+00:00,YES,2026-07-20,40000,,
2026-07-20,2026-07-20,arxiv:2607.14952,arxiv,2607.14952,LongStraw: Long-Context RL Beyond 2M Tokens under a Fixed GPU Budget,https://arxiv.org/abs/2607.14952,33315,28364,1,1,Macaron0fficial,https://x.com/Macaron0fficial/status/2078152293594362169,14265,14265,125,23,2026-07-17T16:18:11+00:00,YES,2026-07-20,33312,,
2026-07-20,2026-07-20,arxiv:2605.24517,arxiv,2605.24517,ECHO: Terminal Agents Learn World Models for Free,https://arxiv.org/abs/2605.24517,43652,24561,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2075986675520393393,12502,12502,203,27,2026-07-11T16:52:48+00:00,,2026-07-20,43652,,
2026-07-20,2026-07-20,arxiv:2606.02388,arxiv,2606.02388,Policy and World Modeling Co-Training for Language Agents,https://arxiv.org/abs/2606.02388,43652,24561,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2075986675520393393,12502,12502,203,27,2026-07-11T16:52:48+00:00,,2026-07-20,43652,,
2026-07-20,2026-07-20,arxiv:2606.24597,arxiv,2606.24597,Qwen-AgentWorld: Language World Models for General Agents,https://arxiv.org/abs/2606.24597,43652,24561,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2075986675520393393,12502,12502,203,27,2026-07-11T16:52:48+00:00,,2026-07-20,43652,,
2026-07-20,2026-07-20,arxiv:2607.09510,arxiv,2607.09510,Failure as a Process: An Anatomy of CLI Coding Agent Trajectories,https://arxiv.org/abs/2607.09510,31905,20573,1,1,dair_ai,https://x.com/dair_ai/status/2076699431207154069,10355,10355,114,16,2026-07-13T16:05:02+00:00,,2026-07-20,31905,,
2026-07-20,2026-07-20,arxiv:2607.08066,arxiv,2607.08066,Persuasion Attacks Can Decrease Effectiveness of CoT Monitoring,https://arxiv.org/abs/2607.08066,25825,15670,1,1,omarsar0,https://x.com/omarsar0/status/2076381586266931248,14025,14025,69,10,2026-07-12T19:02:02+00:00,,2026-07-20,25825,,
2026-07-20,2026-07-20,arxiv:2506.06266,arxiv,2506.06266,Cartridges: Lightweight and general-purpose long context representations via self-study,https://arxiv.org/abs/2506.06266,16550,14419,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2078272777744736723,4800,4800,71,18,2026-07-18T00:16:57+00:00,,2026-07-20,16550,,
2026-07-20,2026-07-20,arxiv:2607.13394,arxiv,2607.13394,GFlowRL: Scaling Distribution-Matching RL to Large Language Models,https://arxiv.org/abs/2607.13394,13839,11021,1,1,dair_ai,https://x.com/dair_ai/status/2077802951612256673,6939,6939,42,8,2026-07-16T17:10:02+00:00,,2026-07-20,13838,,
2026-07-20,2026-07-20,arxiv:2607.15275,arxiv,2607.15275,RoboTTT: Context Scaling for Robot Policies,https://arxiv.org/abs/2607.15275,11926,10098,1,1,dair_ai,https://x.com/dair_ai/status/2078123816786813115,6426,6426,41,8,2026-07-17T14:25:02+00:00,YES,2026-07-20,11926,,
